The mom wants the dad.	The mom want the dad.
The moms want the dad.	The moms wants the dad.
The mom wants the dad.	The moms wants the dad.
The moms want the dad.	The mom want the dad.
The mom wants the girl.	The mom want the girl.
The moms want the girl.	The moms wants the girl.
The mom wants the girl.	The moms wants the girl.
The moms want the girl.	The mom want the girl.
The mom wants the boy.	The mom want the boy.
The moms want the boy.	The moms wants the boy.
The mom wants the boy.	The moms wants the boy.
The moms want the boy.	The mom want the boy.
The mom wants the man.	The mom want the man.
The moms want the man.	The moms wants the man.
The mom wants the man.	The moms wants the man.
The moms want the man.	The mom want the man.
The mom wants the woman.	The mom want the woman.
The moms want the woman.	The moms wants the woman.
The mom wants the woman.	The moms wants the woman.
The moms want the woman.	The mom want the woman.
The mom wants the prince.	The mom want the prince.
The moms want the prince.	The moms wants the prince.
The mom wants the prince.	The moms wants the prince.
The moms want the prince.	The mom want the prince.
The mom wants the princess.	The mom want the princess.
The moms want the princess.	The moms wants the princess.
The mom wants the princess.	The moms wants the princess.
The moms want the princess.	The mom want the princess.
The mom wants the sister.	The mom want the sister.
The moms want the sister.	The moms wants the sister.
The mom wants the sister.	The moms wants the sister.
The moms want the sister.	The mom want the sister.
The mom wants the brother.	The mom want the brother.
The moms want the brother.	The moms wants the brother.
The mom wants the brother.	The moms wants the brother.
The moms want the brother.	The mom want the brother.
The dad wants the mom.	The dad want the mom.
The dads want the mom.	The dads wants the mom.
The dad wants the mom.	The dads wants the mom.
The dads want the mom.	The dad want the mom.
The dad wants the girl.	The dad want the girl.
The dads want the girl.	The dads wants the girl.
The dad wants the girl.	The dads wants the girl.
The dads want the girl.	The dad want the girl.
The dad wants the boy.	The dad want the boy.
The dads want the boy.	The dads wants the boy.
The dad wants the boy.	The dads wants the boy.
The dads want the boy.	The dad want the boy.
The dad wants the man.	The dad want the man.
The dads want the man.	The dads wants the man.
The dad wants the man.	The dads wants the man.
The dads want the man.	The dad want the man.
The dad wants the woman.	The dad want the woman.
The dads want the woman.	The dads wants the woman.
The dad wants the woman.	The dads wants the woman.
The dads want the woman.	The dad want the woman.
The dad wants the prince.	The dad want the prince.
The dads want the prince.	The dads wants the prince.
The dad wants the prince.	The dads wants the prince.
The dads want the prince.	The dad want the prince.
The dad wants the princess.	The dad want the princess.
The dads want the princess.	The dads wants the princess.
The dad wants the princess.	The dads wants the princess.
The dads want the princess.	The dad want the princess.
The dad wants the sister.	The dad want the sister.
The dads want the sister.	The dads wants the sister.
The dad wants the sister.	The dads wants the sister.
The dads want the sister.	The dad want the sister.
The dad wants the brother.	The dad want the brother.
The dads want the brother.	The dads wants the brother.
The dad wants the brother.	The dads wants the brother.
The dads want the brother.	The dad want the brother.
The girl wants the mom.	The girl want the mom.
The girls want the mom.	The girls wants the mom.
The girl wants the mom.	The girls wants the mom.
The girls want the mom.	The girl want the mom.
The girl wants the dad.	The girl want the dad.
The girls want the dad.	The girls wants the dad.
The girl wants the dad.	The girls wants the dad.
The girls want the dad.	The girl want the dad.
The girl wants the boy.	The girl want the boy.
The girls want the boy.	The girls wants the boy.
The girl wants the boy.	The girls wants the boy.
The girls want the boy.	The girl want the boy.
The girl wants the man.	The girl want the man.
The girls want the man.	The girls wants the man.
The girl wants the man.	The girls wants the man.
The girls want the man.	The girl want the man.
The girl wants the woman.	The girl want the woman.
The girls want the woman.	The girls wants the woman.
The girl wants the woman.	The girls wants the woman.
The girls want the woman.	The girl want the woman.
The girl wants the prince.	The girl want the prince.
The girls want the prince.	The girls wants the prince.
The girl wants the prince.	The girls wants the prince.
The girls want the prince.	The girl want the prince.
The girl wants the princess.	The girl want the princess.
The girls want the princess.	The girls wants the princess.
The girl wants the princess.	The girls wants the princess.
The girls want the princess.	The girl want the princess.
The girl wants the sister.	The girl want the sister.
The girls want the sister.	The girls wants the sister.
The girl wants the sister.	The girls wants the sister.
The girls want the sister.	The girl want the sister.
The girl wants the brother.	The girl want the brother.
The girls want the brother.	The girls wants the brother.
The girl wants the brother.	The girls wants the brother.
The girls want the brother.	The girl want the brother.
The boy wants the mom.	The boy want the mom.
The boys want the mom.	The boys wants the mom.
The boy wants the mom.	The boys wants the mom.
The boys want the mom.	The boy want the mom.
The boy wants the dad.	The boy want the dad.
The boys want the dad.	The boys wants the dad.
The boy wants the dad.	The boys wants the dad.
The boys want the dad.	The boy want the dad.
The boy wants the girl.	The boy want the girl.
The boys want the girl.	The boys wants the girl.
The boy wants the girl.	The boys wants the girl.
The boys want the girl.	The boy want the girl.
The boy wants the man.	The boy want the man.
The boys want the man.	The boys wants the man.
The boy wants the man.	The boys wants the man.
The boys want the man.	The boy want the man.
The boy wants the woman.	The boy want the woman.
The boys want the woman.	The boys wants the woman.
The boy wants the woman.	The boys wants the woman.
The boys want the woman.	The boy want the woman.
The boy wants the prince.	The boy want the prince.
The boys want the prince.	The boys wants the prince.
The boy wants the prince.	The boys wants the prince.
The boys want the prince.	The boy want the prince.
The boy wants the princess.	The boy want the princess.
The boys want the princess.	The boys wants the princess.
The boy wants the princess.	The boys wants the princess.
The boys want the princess.	The boy want the princess.
The boy wants the sister.	The boy want the sister.
The boys want the sister.	The boys wants the sister.
The boy wants the sister.	The boys wants the sister.
The boys want the sister.	The boy want the sister.
The boy wants the brother.	The boy want the brother.
The boys want the brother.	The boys wants the brother.
The boy wants the brother.	The boys wants the brother.
The boys want the brother.	The boy want the brother.
The man wants the mom.	The man want the mom.
The men want the mom.	The men wants the mom.
The man wants the mom.	The men wants the mom.
The men want the mom.	The man want the mom.
The man wants the dad.	The man want the dad.
The men want the dad.	The men wants the dad.
The man wants the dad.	The men wants the dad.
The men want the dad.	The man want the dad.
The man wants the girl.	The man want the girl.
The men want the girl.	The men wants the girl.
The man wants the girl.	The men wants the girl.
The men want the girl.	The man want the girl.
The man wants the boy.	The man want the boy.
The men want the boy.	The men wants the boy.
The man wants the boy.	The men wants the boy.
The men want the boy.	The man want the boy.
The man wants the woman.	The man want the woman.
The men want the woman.	The men wants the woman.
The man wants the woman.	The men wants the woman.
The men want the woman.	The man want the woman.
The man wants the prince.	The man want the prince.
The men want the prince.	The men wants the prince.
The man wants the prince.	The men wants the prince.
The men want the prince.	The man want the prince.
The man wants the princess.	The man want the princess.
The men want the princess.	The men wants the princess.
The man wants the princess.	The men wants the princess.
The men want the princess.	The man want the princess.
