word,freq,noun_prob
mommy,0.0036249318379437904,0.9256746455252325
baby,0.0027654451534935816,0.9356160277120874
mom,0.0010596436414012644,0.9809631432545202
bear,0.000839314400247594,0.9442493415276558
girl,0.0008087335858399776,0.9724373576309795
person,0.0007929826242023197,0.977465443140899
cat,0.0006798704552488468,0.9731743666169895
man,0.0006631062738567196,0.949159605500764
mama,0.000650947636803089,0.9347672279609452
guy,0.0006460657598042828,0.9818933561448531
animal,0.000600286649079628,0.9950897652294
horse,0.0005901544515349358,0.9770563446230686
bird,0.0005801143648770135,0.9666560812956494
duck,0.0005185842925147009,0.9529307282415631
kitty,0.000488556143427704,0.9720965309200603
doll,0.00047934505475071107,0.9536894696387395
friend,0.0004331975004789766,0.9189878800765469
dad,0.0004201177545576467,0.962727472045604
cow,0.0003954320369033057,0.9855578849289541
mother,0.0003882473877352512,0.9290628706998814
elephant,0.00036945676683418566,0.9738219895287958
bunny,0.00035545591204515643,0.9795283752267427
chicken,0.0003010183779641283,0.9807221542227662
child,0.00029401795056961373,0.9338972431077694
frog,0.00026629257365186506,0.9256312694569353
dinosaur,0.00026435824502969653,0.9846689895470383
mouse,0.00025717359586164206,0.9835243553008597
